SRCID,D3,D3_norm,D1_avg,D1_norm,A4_avg,A4_norm,A3,A3_norm,A1,A1_norm,B1a,B1b,B1c,B1d,B1_avg,B1_avg_norm,B4,B4_norm,B6f,B6g,B6_avg,B6_avg_norm,B7,B7_norm,V1,V1_binary,V1_norm
1082,1,0,2,0.25,2,0.333333333,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,1,0,4,1,1
720,1,0,1,0,2,0.333333333,9,0.9,1,0,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,1,0,4,1,1
1513,1,0,1.2,0.05,2,0.333333333,5,0.5,4,0.75,1,2,2,1,1.5,0.5,4,1,5,5,5,1,2,0.5,4,1,1
2863,1,0,1,0,2,0.333333333,9,0.9,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,1,0,0
2651,1,0,1,0,2,0.333333333,7,0.7,2,0.25,2,2,2,2,2,1,2,0.333333333,5,5,5,1,1,0,2,0,0.333333333
2084,1,0,1,0,2.333333333,0.444444444,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,2,0,0.333333333
729,1,0,1,0,1.666666667,0.222222222,8,0.8,2,0.25,2,2,2,2,2,1,4,1,5,5,5,1,2,0.5,1,0,0
1920,3,0.666666667,2.6,0.4,1.833333333,0.277777778,7,0.7,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,1,0,3,0,0.666666667
1973,1,0,1.4,0.1,2.166666667,0.388888889,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
1107,1,0,1,0,1.666666667,0.222222222,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
363,1,0,1.8,0.2,1.5,0.166666667,8,0.8,2,0.25,1,2,2,2,1.75,0.75,4,1,3,4,3.5,0.625,2,0.5,3,0,0.666666667
2749,4,1,3.4,0.6,1.5,0.166666667,7,0.7,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,2,2,2,0.25,2,0.5,3,0,0.666666667
1236,2,0.333333333,1.6,0.15,1.666666667,0.222222222,6,0.6,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,3,3,3,0.5,2,0.5,3,0,0.666666667
3183,3,0.666666667,2.8,0.45,2.333333333,0.444444444,3,0.3,4,0.75,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
2890,2,0.333333333,1.4,0.1,2.166666667,0.388888889,7,0.7,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,4,1,1
3507,1,0,1.8,0.2,2.166666667,0.388888889,6,0.6,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,4,1,1
313,2,0.333333333,1.2,0.05,2.333333333,0.444444444,8,0.8,2,0.25,2,2,1,2,1.75,0.75,2,0.333333333,5,5,5,1,2,0.5,3,0,0.666666667
3347,2,0.333333333,1.2,0.05,1.333333333,0.111111111,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,4,1,1
2681,1,0,1,0,2.166666667,0.388888889,9,0.9,2,0.25,1,2,2,2,1.75,0.75,3,0.666666667,1,1,1,0,1,0,4,1,1
1507,3,0.666666667,3.4,0.6,1.666666667,0.222222222,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,1,3,2,0.25,2,0.5,4,1,1
