SRCID,D3,D3_norm,D1_avg,D1_norm,A4_avg,A4_norm,A3,A3_norm,A1,A1_norm,B1a,B1b,B1c,B1d,B1_avg,B1_avg_norm,B4,B4_norm,B6f,B6g,B6_avg,B6_avg_norm,B7,B7_norm,V1,V1_binary,V1_norm
1227,2,0.333333333,2.4,0.35,2.333333333,0.444444444,8,0.8,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,4,1,1
1809,1,0,2,0.25,2.333333333,0.444444444,8,0.8,1,0,2,2,2,1,1.75,0.75,2,0.333333333,5,4,4.5,0.875,2,0.5,4,1,1
1519,2,0.333333333,1.8,0.2,2.166666667,0.388888889,6,0.6,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,4,4.5,0.875,1,0,4,1,1
3438,4,1,3.6,0.65,2,0.333333333,2,0.2,4,0.75,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,4,1,1
482,1,0,1.4,0.1,2.166666667,0.388888889,9,0.9,2,0.25,2,2,2,1,1.75,0.75,4,1,5,5,5,1,2,0.5,4,1,1
2388,1,0,1,0,2,0.333333333,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,3,5,4,0.75,2,0.5,4,1,1
3282,1,0,1,0,2.333333333,0.444444444,6,0.6,4,0.75,2,2,2,1,1.75,0.75,3,0.666666667,3,3,3,0.5,2,0.5,4,1,1
244,1,0,1,0,2.166666667,0.388888889,7,0.7,4,0.75,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,2,0.5,4,1,1
180,2,0.333333333,2.8,0.45,2.166666667,0.388888889,7,0.7,2,0.25,2,2,2,2,2,1,2,0.333333333,2,3,2.5,0.375,2,0.5,4,1,1
174,2,0.333333333,3,0.5,2.333333333,0.444444444,4,0.4,4,0.75,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,4,1,1
2682,2,0.333333333,1.4,0.1,2.333333333,0.444444444,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
2752,2,0.333333333,1.4,0.1,1.666666667,0.222222222,6,0.6,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,4,1,1
2554,1,0,2.4,0.35,2,0.333333333,7,0.7,4,0.75,2,2,2,2,2,1,2,0.333333333,4,2,3,0.5,3,1,3,0,0.666666667
2029,1,0,1.4,0.1,1.833333333,0.277777778,5,0.5,2,0.25,2,2,2,2,2,1,2,0.333333333,1,1,1,0,1,0,4,1,1
1484,2,0.333333333,2,0.25,2,0.333333333,7,0.7,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
2226,2,0.333333333,2.4,0.35,2,0.333333333,5,0.5,2,0.25,2,2,2,1,1.75,0.75,1,0,5,5,5,1,2,0.5,3,0,0.666666667
1132,2,0.333333333,2.8,0.45,1.833333333,0.277777778,4,0.4,2,0.25,2,2,1,1,1.5,0.5,2,0.333333333,2,2,2,0.25,2,0.5,3,0,0.666666667
2451,2,0.333333333,2,0.25,2,0.333333333,7,0.7,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,4,4,4,0.75,2,0.5,4,1,1
1588,4,1,3.8,0.7,1.833333333,0.277777778,4,0.4,4,0.75,2,2,2,1,1.75,0.75,2,0.333333333,1,2,1.5,0.125,1,0,4,1,1
1115,1,0,1.6,0.15,2.166666667,0.388888889,5,0.5,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,2,0.5,3,0,0.666666667
430,1,0,1.6,0.15,2,0.333333333,7,0.7,2,0.25,1,2,2,1,1.5,0.5,3,0.666666667,5,5,5,1,2,0.5,4,1,1
3102,3,0.666666667,3,0.5,2.5,0.5,7,0.7,2,0.25,2,2,2,1,1.75,0.75,1,0,5,5,5,1,2,0.5,4,1,1
469,1,0,1,0,2.5,0.5,10,1,1,0,2,2,2,2,2,1,4,1,5,5,5,1,3,1,2,0,0.333333333
767,1,0,1.2,0.05,1.666666667,0.222222222,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,4,1,1
791,3,0.666666667,3,0.5,2,0.333333333,6,0.6,2,0.25,1,2,2,1,1.5,0.5,3,0.666666667,1,1,1,0,1,0,4,1,1
53,1,0,1,0,1.666666667,0.222222222,7,0.7,1,0,2,2,2,2,2,1,3,0.666666667,5,5,5,1,1,0,3,0,0.666666667
2869,1,0,1.8,0.2,2,0.333333333,8,0.8,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,4,1,1
1623,1,0,1,0,2,0.333333333,7,0.7,2,0.25,2,2,2,2,2,1,2,0.333333333,5,5,5,1,1,0,4,1,1
882,2,0.333333333,3,0.5,2.333333333,0.444444444,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,1,0,4,1,1
1204,1,0,3,0.5,2.333333333,0.444444444,7,0.7,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,3,2,2.5,0.375,1,0,3,0,0.666666667
2184,1,0,1,0,2,0.333333333,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,1,0,4,1,1
2861,2,0.333333333,2.8,0.45,3.833333333,0.944444444,3,0.3,4,0.75,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,3,1,2,0,0.333333333
177,1,0,1.6,0.15,2.5,0.5,6,0.6,4,0.75,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,4,1,1
1062,2,0.333333333,1.8,0.2,2.5,0.5,8,0.8,5,1,2,2,2,2,2,1,4,1,5,5,5,1,1,0,4,1,1
216,1,0,2.2,0.3,1.666666667,0.222222222,7,0.7,2,0.25,1,2,2,1,1.5,0.5,2,0.333333333,1,1,1,0,1,0,4,1,1
2120,1,0,1,0,1.833333333,0.277777778,7,0.7,2,0.25,1,2,2,1,1.5,0.5,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
637,1,0,1,0,2,0.333333333,5,0.5,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,3,1,3,0,0.666666667
1896,1,0,1.4,0.1,2,0.333333333,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,3,3,3,0.5,2,0.5,4,1,1
227,2,0.333333333,2,0.25,2,0.333333333,7,0.7,2,0.25,1,2,2,1,1.5,0.5,3,0.666666667,4,4,4,0.75,2,0.5,3,0,0.666666667
2938,1,0,1.6,0.15,1.833333333,0.277777778,7,0.7,1,0,1,2,2,1,1.5,0.5,3,0.666666667,2,2,2,0.25,2,0.5,4,1,1
1457,2,0.333333333,3,0.5,2.333333333,0.444444444,7,0.7,4,0.75,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
1251,1,0,2.2,0.3,2.333333333,0.444444444,7,0.7,4,0.75,2,1,2,1,1.5,0.5,2,0.333333333,3,5,4,0.75,2,0.5,4,1,1
1013,2,0.333333333,2.2,0.3,2,0.333333333,6,0.6,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,1,0,3,0,0.666666667
967,1,0,1,0,2,0.333333333,8,0.8,2,0.25,1,2,2,1,1.5,0.5,2,0.333333333,2,4,3,0.5,1,0,3,0,0.666666667
696,1,0,1.8,0.2,2.666666667,0.555555556,8,0.8,4,0.75,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
1084,1,0,1.2,0.05,2,0.333333333,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,1,0,4,1,1
2421,1,0,1.4,0.1,1.666666667,0.222222222,9,0.9,2,0.25,1,2,2,1,1.5,0.5,3,0.666666667,1,1,1,0,1,0,4,1,1
2102,1,0,1.6,0.15,1.833333333,0.277777778,4,0.4,2,0.25,1,2,2,2,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,2,0,0.333333333
463,1,0,1,0,2,0.333333333,8,0.8,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,4,1,1
989,1,0,2.6,0.4,2.166666667,0.388888889,1,0.1,4,0.75,2,2,2,2,2,1,3,0.666666667,1,1,1,0,1,0,4,1,1
1340,1,0,1.8,0.2,1.666666667,0.222222222,8,0.8,2,0.25,1,2,1,2,1.5,0.5,3,0.666666667,5,5,5,1,2,0.5,4,1,1
3003,2,0.333333333,2,0.25,2.166666667,0.388888889,5,0.5,5,1,2,2,2,2,2,1,2,0.333333333,4,5,4.5,0.875,2,0.5,4,1,1
1069,3,0.666666667,1.8,0.2,2,0.333333333,6,0.6,4,0.75,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,2,0.5,4,1,1
2374,1,0,1,0,2,0.333333333,10,1,1,0,2,2,2,2,2,1,3,0.666666667,2,2,2,0.25,1,0,4,1,1
355,1,0,1.4,0.1,2.5,0.5,8,0.8,4,0.75,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
2895,1,0,1,0,2,0.333333333,8,0.8,2,0.25,2,2,2,2,2,1,2,0.333333333,5,5,5,1,2,0.5,4,1,1
1780,4,1,1.8,0.2,2.166666667,0.388888889,3,0.3,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
2021,1,0,2.4,0.35,2.333333333,0.444444444,4,0.4,4,0.75,2,2,2,2,2,1,3,0.666666667,4,4,4,0.75,2,0.5,3,0,0.666666667
2083,1,0,1.8,0.2,2.5,0.5,8,0.8,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,1,0,4,1,1
176,2,0.333333333,2.6,0.4,2.5,0.5,4,0.4,2,0.25,1,2,2,1,1.5,0.5,3,0.666666667,1,1,1,0,1,0,4,1,1
2406,2,0.333333333,2.2,0.3,2.166666667,0.388888889,5,0.5,4,0.75,2,2,2,2,2,1,2,0.333333333,1,1,1,0,1,0,3,0,0.666666667
1002,2,0.333333333,1.2,0.05,2,0.333333333,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,3,3,3,0.5,1,0,3,0,0.666666667
945,1,0,1.6,0.15,2.5,0.5,5,0.5,2,0.25,2,2,2,2,2,1,3,0.666666667,3,3,3,0.5,1,0,4,1,1
2192,3,0.666666667,1.4,0.1,2,0.333333333,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,3,2,2.5,0.375,2,0.5,4,1,1
327,2,0.333333333,2.6,0.4,1.666666667,0.222222222,7,0.7,4,0.75,2,2,2,1,1.75,0.75,3,0.666666667,4,4,4,0.75,2,0.5,3,0,0.666666667
2657,1,0,1,0,1.666666667,0.222222222,10,1,1,0,2,2,2,1,1.75,0.75,3,0.666666667,2,1,1.5,0.125,1,0,4,1,1
946,2,0.333333333,3,0.5,2,0.333333333,8,0.8,2,0.25,2,2,2,2,2,1,2,0.333333333,4,3,3.5,0.625,2,0.5,1,0,0
2859,2,0.333333333,2.6,0.4,2.333333333,0.444444444,3,0.3,4,0.75,1,2,1,1,1.25,0.25,2,0.333333333,2,2,2,0.25,1,0,4,1,1
1208,1,0,1.4,0.1,2.333333333,0.444444444,7,0.7,2,0.25,1,2,2,1,1.5,0.5,3,0.666666667,1,1,1,0,1,0,3,0,0.666666667
2714,1,0,1.4,0.1,1.833333333,0.277777778,8,0.8,1,0,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,1,0,3,0,0.666666667
1801,1,0,1,0,2.333333333,0.444444444,4,0.4,4,0.75,1,1,1,1,1,0,3,0.666666667,4,4,4,0.75,1,0,4,1,1
294,1,0,1,0,2.833333333,0.611111111,10,1,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,4,1,1
279,1,0,1,0,3.166666667,0.722222222,8,0.8,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,3,1,1,0,0
728,1,0,4,0.75,1.5,0.166666667,6,0.6,1,0,1,2,1,1,1.25,0.25,2,0.333333333,1,1,1,0,1,0,4,1,1
1585,1,0,2,0.25,2.333333333,0.444444444,0,0,5,1,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,4,1,1
717,2,0.333333333,2,0.25,2.166666667,0.388888889,0,0,5,1,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,1,0,4,1,1
2789,2,0.333333333,3,0.5,2.666666667,0.555555556,7,0.7,4,0.75,2,2,2,1,1.75,0.75,2,0.333333333,5,2,3.5,0.625,2,0.5,2,0,0.333333333
2879,1,0,1.4,0.1,2,0.333333333,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,2,3,2.5,0.375,1,0,4,1,1
3240,2,0.333333333,2,0.25,2,0.333333333,5,0.5,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,1,0,4,1,1
2055,1,0,1.8,0.2,1.666666667,0.222222222,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,4,3,3.5,0.625,2,0.5,4,1,1
1999,1,0,1,0,2.5,0.5,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
271,1,0,3,0.5,1,0,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,2,0.5,4,1,1
2840,4,1,4.2,0.8,2.166666667,0.388888889,5,0.5,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,4,1,1
1036,1,0,3.4,0.6,2.333333333,0.444444444,6,0.6,4,0.75,1,2,2,2,1.75,0.75,2,0.333333333,1,1,1,0,1,0,4,1,1
884,1,0,1.2,0.05,2.166666667,0.388888889,5,0.5,4,0.75,2,2,2,1,1.75,0.75,3,0.666666667,1,5,3,0.5,1,0,1,0,0
790,1,0,1,0,2.833333333,0.611111111,7,0.7,4,0.75,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,2,0.5,4,1,1
2612,1,0,1.8,0.2,2,0.333333333,7,0.7,2,0.25,1,2,2,1,1.5,0.5,3,0.666666667,1,1,1,0,2,0.5,4,1,1
1201,1,0,1.2,0.05,1.833333333,0.277777778,8,0.8,1,0,2,2,2,2,2,1,3,0.666666667,5,5,5,1,1,0,4,1,1
2380,2,0.333333333,4,0.75,2.5,0.5,6,0.6,4,0.75,2,2,2,1,1.75,0.75,3,0.666666667,1,4,2.5,0.375,1,0,4,1,1
179,1,0,1.4,0.1,1.666666667,0.222222222,8,0.8,4,0.75,1,2,2,1,1.5,0.5,4,1,5,5,5,1,2,0.5,4,1,1
214,1,0,1.4,0.1,2,0.333333333,7,0.7,2,0.25,1,2,1,1,1.25,0.25,2,0.333333333,1,1,1,0,1,0,3,0,0.666666667
1881,1,0,1,0,1.333333333,0.111111111,5,0.5,2,0.25,2,2,2,2,2,1,3,0.666666667,1,1,1,0,1,0,3,0,0.666666667
3168,1,0,2.4,0.35,1,0,8,0.8,2,0.25,1,2,2,1,1.5,0.5,3,0.666666667,1,1,1,0,1,0,4,1,1
2366,1,0,1,0,2.666666667,0.555555556,9,0.9,2,0.25,2,2,2,2,2,1,4,1,5,5,5,1,2,0.5,3,0,0.666666667
1907,1,0,1.2,0.05,2,0.333333333,6,0.6,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,4,1,1
3186,1,0,1.4,0.1,1.5,0.166666667,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
1687,3,0.666666667,1.4,0.1,1.833333333,0.277777778,9,0.9,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,3,1,3,0,0.666666667
2677,1,0,1.4,0.1,2.333333333,0.444444444,5,0.5,4,0.75,2,2,2,2,2,1,3,0.666666667,5,5,5,1,1,0,4,1,1
2620,1,0,1,0,1.333333333,0.111111111,10,1,1,0,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,3,1,4,1,1
428,1,0,1,0,1.333333333,0.111111111,10,1,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,1,0,4,1,1
825,2,0.333333333,2,0.25,1.666666667,0.222222222,6,0.6,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,4,4,4,0.75,2,0.5,3,0,0.666666667
1853,1,0,1.2,0.05,1.5,0.166666667,8,0.8,2,0.25,1,2,2,1,1.5,0.5,3,0.666666667,3,4,3.5,0.625,2,0.5,3,0,0.666666667
2155,1,0,1,0,1.833333333,0.277777778,7,0.7,2,0.25,1,2,2,2,1.75,0.75,3,0.666666667,1,1,1,0,2,0.5,4,1,1
3262,2,0.333333333,2,0.25,2,0.333333333,7,0.7,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,1,0,1,0,0
505,1,0,1,0,2,0.333333333,9,0.9,2,0.25,2,2,2,2,2,1,3,0.666666667,3,3,3,0.5,2,0.5,3,0,0.666666667
2489,1,0,3,0.5,2.333333333,0.444444444,6,0.6,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,2,0.5,3,0,0.666666667
1576,1,0,1.2,0.05,1.833333333,0.277777778,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,4,1,1
778,1,0,1,0,1.833333333,0.277777778,10,1,1,0,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,4,1,1
857,2,0.333333333,1.2,0.05,2.166666667,0.388888889,7,0.7,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,4,4,4,0.75,1,0,4,1,1
1088,3,0.666666667,3.6,0.65,2,0.333333333,7,0.7,2,0.25,1,2,2,1,1.5,0.5,2,0.333333333,5,5,5,1,1,0,4,1,1
1634,1,0,1.6,0.15,1.5,0.166666667,7,0.7,2,0.25,2,2,2,2,2,1,4,1,5,5,5,1,2,0.5,4,1,1
546,3,0.666666667,3,0.5,2.5,0.5,5,0.5,5,1,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,2,0.5,3,0,0.666666667
2111,1,0,1,0,2.5,0.5,8,0.8,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,2,0,0.333333333
2652,2,0.333333333,2.6,0.4,2,0.333333333,6,0.6,2,0.25,1,2,2,1,1.5,0.5,2,0.333333333,5,5,5,1,2,0.5,3,0,0.666666667
2974,1,0,1.6,0.15,2.166666667,0.388888889,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,4,1,1
2348,2,0.333333333,1.4,0.1,1.5,0.166666667,8,0.8,2,0.25,2,2,2,2,2,1,2,0.333333333,1,1,1,0,1,0,4,1,1
1431,1,0,1,0,2.333333333,0.444444444,7,0.7,4,0.75,2,2,2,2,2,1,2,0.333333333,4,5,4.5,0.875,3,1,3,0,0.666666667
2082,1,0,1,0,1.5,0.166666667,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
2288,3,0.666666667,3,0.5,1.833333333,0.277777778,7,0.7,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,4,1,1
2321,2,0.333333333,3,0.5,2.166666667,0.388888889,5,0.5,4,0.75,2,2,2,2,2,1,2,0.333333333,3,3,3,0.5,1,0,4,1,1
1417,2,0.333333333,2.4,0.35,1.833333333,0.277777778,8,0.8,2,0.25,2,2,2,2,2,1,2,0.333333333,3,2,2.5,0.375,1,0,4,1,1
1374,1,0,1.4,0.1,2,0.333333333,6,0.6,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,2,2,2,0.25,1,0,3,0,0.666666667
550,1,0,1.4,0.1,2,0.333333333,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,4,4,4,0.75,1,0,2,0,0.333333333
1171,2,0.333333333,2.4,0.35,2.333333333,0.444444444,4,0.4,4,0.75,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,1,0,4,1,1
262,4,1,3.6,0.65,2,0.333333333,2,0.2,4,0.75,1,2,2,1,1.5,0.5,1,0,1,1,1,0,1,0,4,1,1
1747,4,1,5,1,2,0.333333333,5,0.5,1,0,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,2,0.5,4,1,1
2090,1,0,1,0,2.5,0.5,4,0.4,4,0.75,2,2,2,2,2,1,4,1,1,1,1,0,2,0.5,3,0,0.666666667
2370,2,0.333333333,2.2,0.3,1.5,0.166666667,5,0.5,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,1,0,3,0,0.666666667
1177,2,0.333333333,1.6,0.15,2.666666667,0.555555556,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,2,0.5,3,0,0.666666667
1551,1,0,1.2,0.05,2,0.333333333,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,4,4,4,0.75,1,0,4,1,1
296,1,0,2,0.25,2.166666667,0.388888889,6,0.6,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,1,2,1.5,0.125,1,0,4,1,1
1225,1,0,1.4,0.1,2.333333333,0.444444444,7,0.7,2,0.25,2,2,1,2,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
1163,1,0,1.2,0.05,2.5,0.5,4,0.4,4,0.75,2,2,2,1,1.75,0.75,2,0.333333333,3,5,4,0.75,1,0,4,1,1
3553,2,0.333333333,2.2,0.3,1.666666667,0.222222222,7,0.7,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,2,1,1.5,0.125,1,0,4,1,1
1505,1,0,1.2,0.05,2,0.333333333,8,0.8,4,0.75,2,2,2,2,2,1,3,0.666666667,2,1,1.5,0.125,1,0,3,0,0.666666667
2858,1,0,1.6,0.15,1.666666667,0.222222222,7,0.7,2,0.25,1,2,2,1,1.5,0.5,3,0.666666667,3,3,3,0.5,2,0.5,4,1,1
485,3,0.666666667,3.2,0.55,1.5,0.166666667,7,0.7,2,0.25,1,2,2,1,1.5,0.5,2,0.333333333,1,1,1,0,2,0.5,4,1,1
3046,1,0,1.4,0.1,2.166666667,0.388888889,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,2,0,0.333333333
2281,1,0,2,0.25,2.333333333,0.444444444,8,0.8,2,0.25,2,2,2,2,2,1,4,1,5,5,5,1,2,0.5,4,1,1
2499,4,1,3.8,0.7,2.666666667,0.555555556,3,0.3,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,1,0,4,1,1
2787,1,0,1.8,0.2,1.166666667,0.055555556,7,0.7,4,0.75,1,2,2,2,1.75,0.75,3,0.666666667,4,5,4.5,0.875,2,0.5,4,1,1
669,2,0.333333333,1,0,1.5,0.166666667,8,0.8,1,0,2,2,2,2,2,1,3,0.666666667,1,2,1.5,0.125,1,0,4,1,1
1440,2,0.333333333,1.6,0.15,1.666666667,0.222222222,8,0.8,2,0.25,1,2,2,1,1.5,0.5,3,0.666666667,4,5,4.5,0.875,2,0.5,4,1,1
3535,1,0,1.6,0.15,1.5,0.166666667,7,0.7,2,0.25,2,2,1,1,1.5,0.5,3,0.666666667,5,5,5,1,2,0.5,4,1,1
2368,1,0,1.8,0.2,1.333333333,0.111111111,8,0.8,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,4,1,1
1104,1,0,1.2,0.05,1.666666667,0.222222222,7,0.7,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,4,2,3,0.5,1,0,4,1,1
1305,1,0,2.2,0.3,2.166666667,0.388888889,3,0.3,4,0.75,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,1,0,3,0,0.666666667
2377,1,0,1.4,0.1,1.666666667,0.222222222,5,0.5,4,0.75,2,2,2,2,2,1,2,0.333333333,1,2,1.5,0.125,2,0.5,4,1,1
1979,1,0,1.4,0.1,1.833333333,0.277777778,7,0.7,2,0.25,1,2,2,1,1.5,0.5,3,0.666666667,1,1,1,0,1,0,4,1,1
3536,1,0,1,0,2.333333333,0.444444444,4,0.4,4,0.75,2,2,2,1,1.75,0.75,3,0.666666667,4,5,4.5,0.875,2,0.5,3,0,0.666666667
2906,3,0.666666667,3.6,0.65,2.666666667,0.555555556,3,0.3,5,1,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,1,0,0
695,1,0,2,0.25,2.5,0.5,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,3,3,3,0.5,2,0.5,3,0,0.666666667
3496,1,0,1,0,2.666666667,0.555555556,5,0.5,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,4,1,1
2203,2,0.333333333,1.6,0.15,1.833333333,0.277777778,9,0.9,2,0.25,1,2,2,2,1.75,0.75,3,0.666666667,3,1,2,0.25,1,0,4,1,1
2123,1,0,1.8,0.2,1.333333333,0.111111111,8,0.8,2,0.25,1,2,2,1,1.5,0.5,2,0.333333333,1,1,1,0,1,0,3,0,0.666666667
1136,3,0.666666667,3.4,0.6,2.333333333,0.444444444,2,0.2,2,0.25,2,2,2,1,1.75,0.75,4,1,5,3,4,0.75,2,0.5,3,0,0.666666667
1437,1,0,1.4,0.1,2,0.333333333,9,0.9,2,0.25,2,2,2,2,2,1,1,0,5,5,5,1,2,0.5,2,0,0.333333333
860,1,0,1,0,1.833333333,0.277777778,8,0.8,2,0.25,2,2,2,2,2,1,4,1,5,5,5,1,2,0.5,4,1,1
2274,3,0.666666667,2.4,0.35,2.166666667,0.388888889,5,0.5,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,2,0.5,3,0,0.666666667
2839,1,0,1.2,0.05,1.833333333,0.277777778,9,0.9,4,0.75,2,2,2,1,1.75,0.75,3,0.666666667,4,3,3.5,0.625,2,0.5,3,0,0.666666667
2243,3,0.666666667,2.6,0.4,2.666666667,0.555555556,4,0.4,4,0.75,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,2,0.5,4,1,1
1385,1,0,1,0,1.833333333,0.277777778,4,0.4,4,0.75,1,2,2,1,1.5,0.5,3,0.666666667,5,4,4.5,0.875,1,0,4,1,1
875,3,0.666666667,1.8,0.2,2.166666667,0.388888889,8,0.8,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,4,1,1
198,3,0.666666667,2.6,0.4,2,0.333333333,6,0.6,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,4,1,1
2844,1,0,1,0,1.666666667,0.222222222,8,0.8,2,0.25,1,2,2,2,1.75,0.75,3,0.666666667,1,1,1,0,2,0.5,1,0,0
1792,1,0,1,0,2,0.333333333,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,1,0,4,1,1
377,1,0,1.4,0.1,2.833333333,0.611111111,4,0.4,4,0.75,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
3573,1,0,2.4,0.35,2.5,0.5,5,0.5,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,4,1,1
173,3,0.666666667,3.2,0.55,2.333333333,0.444444444,6,0.6,4,0.75,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,4,1,1
872,1,0,1.4,0.1,1.666666667,0.222222222,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,2,4,3,0.5,2,0.5,4,1,1
2996,1,0,3.8,0.7,2.166666667,0.388888889,4,0.4,4,0.75,1,2,2,1,1.5,0.5,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
